Species,Morphotype
Passiflora_actinia,Morphotype_E
Passiflora_alata,Morphotype_F
Passiflora_amethystina,Morphotype_D
Passiflora_biflora,Morphotype_B
Passiflora_caerulea,Morphotype_C
Passiflora_capsularis,Morphotype_B
Passiflora_cincinnata,Morphotype_C
Passiflora_coccinea,Morphotype_G
Passiflora_coriacea,Morphotype_A
Passiflora_edmundoi,Morphotype_C
Passiflora_edulis,Morphotype_F
Passiflora_foetida,Morphotype_D
Passiflora_galbana,Morphotype_G
Passiflora_gibertii,Morphotype_C
Passiflora_gracilis,Morphotype_D
Passiflora_hatschbachii,Morphotype_C
Passiflora_kermesina,Morphotype_C
Passiflora_ligularis,Morphotype_F
Passiflora_malacophylla,Morphotype_G
Passiflora_maliformis,Morphotype_G
Passiflora_micropetala,Morphotype_B
Passiflora_miersii,Morphotype_E
Passiflora_misera,Morphotype_A
Passiflora_mollissima,Morphotype_C
Passiflora_morifolia,Morphotype_D
Passiflora_mucronata,Morphotype_G
Passiflora_nitida,Morphotype_F
Passiflora_organensis,Morphotype_B
Passiflora_pohlii,Morphotype_B
Passiflora_racemosa,Morphotype_F
Passiflora_rubra,Morphotype_B
Passiflora_setacea,Morphotype_C
Passiflora_sidifolia,Morphotype_E
Passiflora_suberosa,Morphotype_C
Passiflora_tenuifila,Morphotype_C
Passiflora_tricuspis,Morphotype_B
Passiflora_villosa,Morphotype_F
